,"IV Distribution of domestic animals - cattle, caprines (sheep and goat), pig, dog, horse and game (all wild species taken together)",
,,
1,domestic cattle= ,bostaur
2,caprines (sheep & goats)= ,oviscap
3,domestic pig= ,susscrd
4,dog= ,canifam
5,domestic horse= ,equucab
6,wild= ,alcealc+bisobon+bosprim+canilup+caprawild+caprcap+cervela+damadam+erinspe+gazespe+ felispe+gulogul+lepuspe+asinspe+equufer+lutrlu+lynxspe+martspe+melemel+mustspe+ oryccun+oviswild+pantspe+rangtar+rupirup+saigtat+susscrf+ursuar+vormper+vulpspe+ cetaind+delpdel+delpind+haligry+monamon+phocgro+phochis+phocind+phocoin+phocospe+ phocvit+physmac+pinnind+turstru
