,"II Distribution of domestic, wild land (terrestrial) and wild marine macromammals",
,,
1,domestic= ,bostaur+susscrd+oviscap+canifam+equucab
2,wild land= ,alcealc+bisobon+bosprim+canilup+caprawild+caprcap+cervela+damadam+erinspe+gazespe+felispe+gulogul+lepuspe+asinspe+equufer+lutrlu+lynxspe+martspe+melemel+mustspe+oryccun+oviswild+pantspe+rangtar+rupirup+saigtat+susscrf+ursuar+vormper+vulpspe
3,wild marine=,cetaind+delpdel+delpind+haligry+monamon+phocgro+phochis+phocind+phocoin+phocospe+phocvit+physmac+pinnind+turstru
